conditionId,question,market_category,n_trades,n_buy,n_sell,buy_yes_count,buy_no_count,sell_yes_count,sell_no_count,buy_yes_cost,buy_no_cost,buy_yes_avg_price,buy_no_avg_price,combined_buy_price,yes_net_position,no_net_position,total_cashflow,both_sides_buy,duration_sec,first_trade,last_trade
0x007d4b0cb9d1852c60546d5a2bf4771a54602335685f377f215194f223ccde4a,"Bitcoin Up or Down - February 12, 9:10PM-9:15PM ET",crypto,7,7,0,2,5,0,0,88.88,148.13,0.44,0.5729,1.0129,202.0,258.58,-237.01,True,198,1770948635,1770948833
0x011ab78627b84181309c52ab25fa6fdfddaf43c743d3d63a00798f7c080319c0,"Bitcoin Up or Down - February 13, 2:30AM-2:35AM ET",crypto,11,11,0,0,11,0,0,0.0,665.97,,0.5994,0.5994,0.0,1111.0,-665.97,False,10,1770967809,1770967819
0x021a507688edbab1e3a0a0bd287ae29517b321f7d95fc88fae6a2427bb0604f0,"Bitcoin Up or Down - February 12, 8:45PM-8:50PM ET",crypto,17,17,0,14,3,0,0,653.7,23.36,0.7144,0.139,0.8534,915.04,168.0,-677.06,True,64,1770947109,1770947173
0x0262adc0b35c27c7b5d00211833a131066bf9c75a07be1b5b6eefe13c089b91a,"Bitcoin Up or Down - February 13, 12AM ET",crypto,41,41,0,20,21,0,0,1797.3,1056.28,0.556,0.3158,0.8718,3232.65,3344.64,-2853.58,True,3368,1770958837,1770962205
0x037d52fc1bb3a7ec55817a69c2890a014c1c996de9b88c2b117621a69fecea5f,"Ethereum Up or Down - February 12, 10:45PM-11:00PM ET",crypto,25,24,1,15,9,1,0,393.0,372.7,0.3312,0.6416,0.9727,1141.15,580.91,-745.64,True,688,1770954307,1770954995
0x03a51e76fa4244afa81783c95342ecc454adba295e3cc0cd6ee1682a984ed4a0,"Bitcoin Up or Down - February 12, 11:05PM-11:10PM ET",crypto,20,14,6,6,8,6,0,188.61,253.85,0.6023,0.4851,1.0874,-64.85,523.28,-288.76,True,230,1770955507,1770955737
0x045c2b42162c80eea56e3a2b7315ac53f2de4f27d7ab707082b12acfd7e79712,"Bitcoin Up or Down - February 13, 1:30AM-1:35AM ET",crypto,13,13,0,2,11,0,0,39.39,588.86,0.195,0.5931,0.7881,202.0,992.83,-628.25,True,162,1770964205,1770964367
0x04a702ae3250972991f74be2ec2440806a100d3f6dfaf6a89c5a8e19859adfa0,"Bitcoin Up or Down - February 13, 3:35AM-3:40AM ET",crypto,11,10,1,3,7,0,1,126.71,103.68,0.6345,0.5153,1.1498,199.71,100.2,-197.53,True,112,1770971713,1770971825
0x0507338d275158305f42f52e9ab6a6e7095bab8f40d1ad82ec37520367e0884f,"Bitcoin Up or Down - February 12, 9:45PM-9:50PM ET",crypto,32,25,7,7,18,1,6,134.94,694.33,0.4237,0.5727,0.9964,314.47,834.49,-664.31,True,228,1770950707,1770950935
0x06cf51eb4111f84cbdca48c989bfd126028d74ea1d0e5b17429cea07adc4a154,"Bitcoin Up or Down - February 12, 11:15PM-11:30PM ET",crypto,18,16,2,10,6,1,1,904.95,239.35,0.5758,0.3597,0.9355,1383.55,480.45,-1037.8,True,518,1770956243,1770956761
