conditionId,question,coin,window_type,window_start_ts,first_trade_ts,entry_delay_sec,direction_bias,bias_label,mom_1m_pct,mom_5m_pct,mom_15m_pct,bn_price_at_entry,buy_yes_cost,buy_no_cost
0x89c56afa2d5c82bb30a57563f37e4171de51d8c4121a9a06ad9ca0ffc6b4de78,"Ethereum Up or Down - February 13, 3:30AM-3:45AM ET",ETHUSDT,5min,1770971400.0,1770971429,29.0,0.4538,Up偏重,-0.0401,0.0571,-0.0272,1944.74,439.94,165.28
0x6191129cb10edf987b1bb53a835a50805053d649988bc9f5777e4a60f2205a19,"Bitcoin Up or Down - February 13, 3:40AM-3:45AM ET",BTCUSDT,5min,1770972000.0,1770972005,5.0,0.8568,Up偏重,0.0502,0.0029,0.2049,66471.93,259.87,20.04
0xf7a2fbf9cd8e750086069f31827a4f601f10d3a4522d56c70f92acab813cad41,"Solana Up or Down - February 13, 3AM ET",SOLUSDT,1hour,,1770969607,,0.4647,Up偏重,0.0,0.0,0.0,78.91,402.18,146.98
0xaed4c50ed98c6d18b741916b4576035156b948b87b168dba9cba24168053979c,"Bitcoin Up or Down - February 13, 3:30AM-3:45AM ET",BTCUSDT,5min,1770971400.0,1770971427,27.0,0.4368,Up偏重,-0.0208,0.0247,-0.084,66404.18,361.55,141.71
0x04a702ae3250972991f74be2ec2440806a100d3f6dfaf6a89c5a8e19859adfa0,"Bitcoin Up or Down - February 13, 3:35AM-3:40AM ET",BTCUSDT,5min,1770971700.0,1770971713,13.0,0.1,均衡,0.0042,0.0746,0.206,66448.76,126.71,103.68
0xc24cd07c50aa05b360dd5bf8472d21c23c7e1531fe058f66127b361fbdd7e3f0,"Bitcoin Up or Down - February 13, 3:30AM-3:35AM ET",BTCUSDT,5min,1770971400.0,1770971443,43.0,1.0,Up偏重,-0.0507,-0.0265,-0.0893,66400.62,73.14,0.0
0x8b5d0f8304291c2703414bda0563ca98ec3f935a0df9b59b0a2543033c2ba087,"Bitcoin Up or Down - February 13, 3:25AM-3:30AM ET",BTCUSDT,5min,1770971100.0,1770971105,5.0,0.9446,Up偏重,-0.0484,0.0256,-0.1866,66335.99,422.05,12.01
0x25886cce7949de1cc8117a2ff29690ccc52fd0f8f8c69b47f642b5b2485363b9,"Ethereum Up or Down - February 13, 3AM ET",ETHUSDT,1hour,,1770969621,,0.7903,Up偏重,0.0,0.0,0.0,1945.26,262.87,30.79
0x4ae24fa24bbf924eac47de7bd8c2ea593f3c09c660d4b60f0a464351d7b3400b,"Bitcoin Up or Down - February 13, 3:15AM-3:30AM ET",BTCUSDT,5min,1770970500.0,1770970505,5.0,0.3535,Up偏重,0.0,0.0,0.0,66460.01,768.44,367.07
0xddb4da01e8b9298bca7b3159ff9224486ab9e7b8f0da2000860f7ed43ad66265,"Ethereum Up or Down - February 13, 3:15AM-3:30AM ET",ETHUSDT,5min,1770970500.0,1770970509,9.0,0.0876,均衡,0.0,0.0,0.0,1945.26,269.98,226.5
0x46de09171efabc116de5cb944f014790526608535c6755e427e707e76dd6f0ea,"Bitcoin Up or Down - February 13, 3:20AM-3:25AM ET",BTCUSDT,5min,1770970800.0,1770970807,7.0,0.296,Up偏重,0.0754,-0.2224,-0.2224,66312.18,215.68,117.16
0x167922c33de6fbf06b4281e56766a3933788d110f21c6c503f9bc7255c5216c2,"Bitcoin Up or Down - February 13, 3:15AM-3:20AM ET",BTCUSDT,5min,1770970500.0,1770970505,5.0,-0.5693,Down偏重,0.0,0.0,0.0,66460.01,67.56,246.13
