conditionId,question,slug,category,settled,winner,both_sides,buy_yes_cost,buy_no_cost,buy_yes_size,buy_no_size,net_yes,net_no,avg_p_yes,avg_p_no,combined_price,hedged_size,arb_per_unit,directional_side,directional_size,directional_price,sell_revenue,pnl_arb,pnl_direction,pnl_residual,pnl_total
0x89c56afa2d5c82bb30a57563f37e4171de51d8c4121a9a06ad9ca0ffc6b4de78,"Ethereum Up or Down - February 13, 3:30AM-3:45AM ET",eth-updown-15m-1770971400,crypto,False,,True,439.94,165.28,812.55,561.3,812.55,561.3,0.5414,0.2945,0.8359,561.3,0.1641,yes,251.25,0.5414,0,92.11,,,
0x6191129cb10edf987b1bb53a835a50805053d649988bc9f5777e4a60f2205a19,"Bitcoin Up or Down - February 13, 3:40AM-3:45AM ET",btc-updown-5m-1770972000,crypto,False,,True,259.87,20.04,449.23,37.12,449.23,37.12,0.5785,0.54,1.1185,37.12,-0.1185,yes,412.11,0.5785,0,-4.4,,,
0xf7a2fbf9cd8e750086069f31827a4f601f10d3a4522d56c70f92acab813cad41,"Solana Up or Down - February 13, 3AM ET",solana-up-or-down-february-13-3am-et,crypto,False,,True,402.18,146.98,482.0,429.77,482.0,429.77,0.8344,0.342,1.1764,429.77,-0.1764,yes,52.23,0.8344,0,-75.81,,,
0xaed4c50ed98c6d18b741916b4576035156b948b87b168dba9cba24168053979c,"Bitcoin Up or Down - February 13, 3:30AM-3:45AM ET",btc-updown-15m-1770971400,crypto,False,,True,361.55,141.71,591.15,500.04,591.15,500.04,0.6116,0.2834,0.895,500.04,0.105,yes,91.11,0.6116,0,52.51,,,
0x04a702ae3250972991f74be2ec2440806a100d3f6dfaf6a89c5a8e19859adfa0,"Bitcoin Up or Down - February 13, 3:35AM-3:40AM ET",btc-updown-5m-1770971700,crypto,False,,True,126.71,103.68,199.71,201.2,199.71,100.2,0.6345,0.5153,1.1498,100.2,-0.1498,yes,99.51,0.6345,32.86,-15.01,,,
0xc24cd07c50aa05b360dd5bf8472d21c23c7e1531fe058f66127b361fbdd7e3f0,"Bitcoin Up or Down - February 13, 3:30AM-3:35AM ET",btc-updown-5m-1770971400,crypto,False,,False,73.14,0,207.04,0,207.04,-0.43,0.3533,0,,0,,yes,207.04,0.3533,0.15,0,,,
0x8b5d0f8304291c2703414bda0563ca98ec3f935a0df9b59b0a2543033c2ba087,"Bitcoin Up or Down - February 13, 3:25AM-3:30AM ET",btc-updown-5m-1770971100,crypto,False,,True,422.05,12.01,723.11,229.7,723.11,229.7,0.5837,0.0523,0.636,229.7,0.364,yes,493.41,0.5837,0,83.62,,,
0x25886cce7949de1cc8117a2ff29690ccc52fd0f8f8c69b47f642b5b2485363b9,"Ethereum Up or Down - February 13, 3AM ET",ethereum-up-or-down-february-13-3am-et,crypto,False,,True,262.87,30.79,444.42,239.0,444.42,239.0,0.5915,0.1288,0.7203,239.0,0.2797,yes,205.42,0.5915,0,66.84,,,
0x4ae24fa24bbf924eac47de7bd8c2ea593f3c09c660d4b60f0a464351d7b3400b,"Bitcoin Up or Down - February 13, 3:15AM-3:30AM ET",btc-updown-15m-1770970500,crypto,False,,True,768.44,367.07,1338.85,1647.0,1338.85,-361.4,0.574,0.2229,0.7968,0,0.2032,yes,1338.85,0.574,551.65,0,,,
0xddb4da01e8b9298bca7b3159ff9224486ab9e7b8f0da2000860f7ed43ad66265,"Ethereum Up or Down - February 13, 3:15AM-3:30AM ET",eth-updown-15m-1770970500,crypto,False,,True,269.98,226.5,530.36,573.95,424.36,280.12,0.5091,0.3946,0.9037,280.12,0.0963,yes,144.24,0.5091,167.57,26.98,,,
0x46de09171efabc116de5cb944f014790526608535c6755e427e707e76dd6f0ea,"Bitcoin Up or Down - February 13, 3:20AM-3:25AM ET",btc-updown-5m-1770970800,crypto,False,,True,215.68,117.16,358.54,202.0,358.54,101.0,0.6015,0.58,1.1815,101.0,-0.1815,yes,257.54,0.6015,42.42,-18.34,,,
0x167922c33de6fbf06b4281e56766a3933788d110f21c6c503f9bc7255c5216c2,"Bitcoin Up or Down - February 13, 3:15AM-3:20AM ET",btc-updown-5m-1770970500,crypto,False,,True,67.56,246.13,125.01,477.94,125.01,459.54,0.5404,0.515,1.0554,125.01,-0.0554,no,334.53,0.515,8.28,-6.92,,,
0xbce01fa6b9a5823661de8d84afe23a0a97da0e88f030032fc9cb999b8523793d,"Bitcoin Up or Down - February 13, 3:10AM-3:15AM ET",btc-updown-5m-1770970200,crypto,False,,True,340.49,5.42,604.75,13.3,604.75,13.3,0.563,0.4075,0.9705,13.3,0.0295,yes,591.45,0.563,0,0.39,,,
0x95161e1f391213ebf4478cbf05df7c079b29b7bf0e5b97a920a6fd2a8de87f6c,"Ethereum Up or Down - February 13, 3:00AM-3:15AM ET",eth-updown-15m-1770969600,crypto,False,,True,374.71,119.17,636.39,492.12,636.39,492.12,0.5888,0.2422,0.831,492.12,0.169,yes,144.27,0.5888,0,83.18,,,
0xb7a04e484a4e0f4708f5b8ac0f26a08bdbc08c462cf25c1b15391252b5037320,"Bitcoin Up or Down - February 13, 3:00AM-3:15AM ET",btc-updown-15m-1770969600,crypto,False,,True,118.0,329.52,236.0,1727.69,236.0,1677.96,0.5,0.1907,0.6907,236.0,0.3093,no,1441.96,0.1907,6.62,72.99,,,
0xf89c41e9f05f20ff5306ea62480a106c89442bde40eca2507df7b72505374391,"Bitcoin Up or Down - February 13, 3:05AM-3:10AM ET",btc-updown-5m-1770969900,crypto,False,,True,127.84,35.2,158.13,272.0,158.13,122.01,0.8085,0.1294,0.9379,122.01,0.0621,yes,36.12,0.8085,42.27,7.58,,,
0x22591d8fa7de00d6045d932d57b5e8d17805ae706d996e9f7ccdc4807f22ae67,"Bitcoin Up or Down - February 13, 3:00AM-3:05AM ET",btc-updown-5m-1770969600,crypto,False,,True,46.75,8.1,86.58,27.0,86.58,27.0,0.54,0.3,0.84,27.0,0.16,yes,59.58,0.54,0,4.32,,,
0xfbea880ea255ca7f5132022afbf5a07da03ee289840fc555fb8f5ecc284af147,"Bitcoin Up or Down - February 13, 3AM ET",bitcoin-up-or-down-february-13-3am-et,crypto,False,,False,29.16,0,54.0,0,54.0,0,0.54,0,,0,,yes,54.0,0.54,0,0,,,
0xb58b35f22e86d3d05dbd6854eadbc6d3e093e1a4e3a81d983039479ceaa13104,"Bitcoin Up or Down - February 13, 2:55AM-3:00AM ET",btc-updown-5m-1770969300,crypto,False,,True,7.52,227.78,217.16,362.02,217.16,362.02,0.0347,0.6292,0.6638,217.16,0.3362,no,144.86,0.6292,0,73.0,,,
0x287c2b592cdfcac870401c77dc0b85610cb57c9a3f64bacb953f172b1e5c96a7,"Ethereum Up or Down - February 13, 2:45AM-3:00AM ET",eth-updown-15m-1770968700,crypto,False,,True,233.49,77.31,411.72,273.59,411.72,273.59,0.5671,0.2826,0.8497,273.59,0.1503,yes,138.13,0.5671,0,41.12,,,
0x996ce3cb3fe2b585e93ad484e7263f396b19432e8c5b92f3972cb42878e327f4,"Ethereum Up or Down - February 13, 2AM ET",ethereum-up-or-down-february-13-2am-et,crypto,False,,True,685.85,1015.67,1401.92,2633.49,1401.92,2633.49,0.4892,0.3857,0.8749,1401.92,0.1251,no,1231.57,0.3857,0,175.38,,,
0x3beee638d2c0571c8e14f749fb7307b6675f50208c8edecd0168b11a7de5a5a4,"Bitcoin Up or Down - February 13, 2:45AM-3:00AM ET",btc-updown-15m-1770968700,crypto,False,,True,981.42,1889.28,1819.64,3988.96,1142.82,3702.86,0.5393,0.4736,1.013,1142.82,-0.013,no,2560.04,0.4736,410.89,-14.83,,,
0xbf3355046565c23ff95968a426e54b422fd2b93484bc9bd3c0cc61511fa9c8ea,"Bitcoin Up or Down - February 13, 2:50AM-2:55AM ET",btc-updown-5m-1770969000,crypto,False,,True,19.75,143.52,31.77,302.27,31.77,302.27,0.6216,0.4748,1.0964,31.77,-0.0964,no,270.5,0.4748,0,-3.06,,,
0x4da2b287d2acd0c7b4428fd6ec92b328b0600d4e245db7f3a4334cf232886be0,"Solana Up or Down - February 13, 2AM ET",solana-up-or-down-february-13-2am-et,crypto,False,,True,266.18,424.96,435.7,1074.32,435.7,1074.32,0.6109,0.3956,1.0065,435.7,-0.0065,no,638.62,0.3956,0,-2.82,,,
0xc924e3c068c9ccb6f79224604a2562a01a1c62e427e27747df8a6cc008693459,"Bitcoin Up or Down - February 13, 2:45AM-2:50AM ET",btc-updown-5m-1770968700,crypto,False,,True,396.95,568.43,642.61,1033.51,642.61,988.37,0.6177,0.55,1.1677,642.61,-0.1677,no,345.76,0.55,20.31,-107.78,,,
0xe0f6987b426eb5a16294951c8f42ab86132946abab558b0d9fad94473cefacea,"XRP Up or Down - February 13, 2AM ET",xrp-up-or-down-february-13-2am-et,crypto,False,,True,323.06,185.79,733.56,616.49,733.56,616.49,0.4404,0.3014,0.7418,616.49,0.2582,yes,117.07,0.4404,0,159.2,,,
0xd7c6cb3d28923df23d2c708504993e30ca2103c81f4f8c895c1a1f53857be30d,"Bitcoin Up or Down - February 13, 2:40AM-2:45AM ET",btc-updown-5m-1770968400,crypto,True,no,True,3.92,408.79,10.06,727.73,10.06,727.73,0.39,0.5617,0.9517,10.06,0.0483,no,717.67,0.5617,0,0.49,314.53,0.0,315.02
0x4e3ac7cd0a9830c2fd52be3e1e7e79f1466aa7207f95717ec98ccad33666fbe0,"Bitcoin Up or Down - February 13, 2AM ET",bitcoin-up-or-down-february-13-2am-et,crypto,True,no,True,1903.64,1321.99,3346.05,2859.92,3346.05,2859.92,0.5689,0.4622,1.0312,2859.92,-0.0312,yes,486.13,0.5689,0,-89.13,-276.57,0.0,-365.7
0xd3ab2bbb1b4b8d452c5162c34feedb9465580eefcb3b03fbaf6c807438daff66,"Ethereum Up or Down - February 13, 2:30AM-2:45AM ET",eth-updown-15m-1770967800,crypto,True,no,True,25.54,177.24,372.53,275.69,372.53,275.69,0.0685,0.6429,0.7115,275.69,0.2885,yes,96.84,0.0685,0,79.55,-6.64,-0.0,72.91
0x17ad78ca730d2d7e5d7bb53c754ef9bf7218a51f73dd164585f56bf55029572a,"Bitcoin Up or Down - February 13, 2:35AM-2:40AM ET",btc-updown-5m-1770968100,crypto,True,no,True,65.44,319.11,109.95,565.76,-92.05,464.76,0.5952,0.564,1.1592,0,-0.1592,no,464.76,0.564,130.29,0,202.62,7.88,210.5
0xdf79e8e1f4a6cec69c15b52877d75741caf757ee3e3c8e322927e262962efe61,"Bitcoin Up or Down - February 13, 2:30AM-2:45AM ET",btc-updown-15m-1770967800,crypto,True,no,True,40.01,886.01,311.21,1428.0,311.21,1428.0,0.1286,0.6205,0.749,311.21,0.251,no,1116.79,0.6205,0,78.11,423.87,-0.0,501.98
0x011ab78627b84181309c52ab25fa6fdfddaf43c743d3d63a00798f7c080319c0,"Bitcoin Up or Down - February 13, 2:30AM-2:35AM ET",btc-updown-5m-1770967800,crypto,True,no,False,0,665.97,0,1111.0,0,1111.0,0,0.5994,,0,,no,1111.0,0.5994,0,0,445.03,-0.0,445.03
0xca7c286748fb28c89627bf941069d4b1b6eab5fd326057553e5c6d0a91f0e31e,"Bitcoin Up or Down - February 13, 2:25AM-2:30AM ET",btc-updown-5m-1770967500,crypto,True,yes,False,0,445.55,0,788.21,0,788.21,0,0.5653,,0,,no,788.21,0.5653,0,0,-445.55,0.0,-445.55
