feature,xgb_importance,lgb_importance
kl_ret_6,0.026541406,29
ft_ret_6,0.023998942,23
ft_basis_chg,0.023356106,67
kl_price_pos_48,0.022479929,55
kl_price_pos_12,0.021076763,21
kl_hl_ratio,0.020945773,32
kl_ret_12,0.02093124,38
kl_ret_2,0.020557066,38
ft_tfi_12,0.020536307,38
ft_tfi_6,0.02047438,30
ft_tfi_3,0.019628854,36
kl_ret_3,0.019510584,15
kl_vol_12,0.019407032,25
ft_basis,0.019377198,42
ft_vol_ratio_6,0.019295707,33
kl_ret_1,0.019151816,15
kl_vol_24,0.018970303,19
ft_ret_3,0.018835466,28
mom_300s,0.018659528,12
ft_ret_1,0.018649327,34
mom_5s,0.01863152,26
ntrades_ratio_30s,0.018532157,31
mom_30s,0.018323606,41
dow_cos,0.018219473,12
tfi_5s,0.01813879,50
tfi_10s,0.01811802,30
kl_ret_24,0.017935745,43
mom_60s,0.017849382,56
kl_vol_6,0.017385248,30
ft_vol_ratio_12,0.017344616,26
kl_vol_ratio_6,0.017167868,8
kl_lower_shadow,0.017134983,31
mom_10s,0.017123751,31
tfi_300s,0.017086951,16
kl_vol_ratio_12,0.01695763,17
kl_body_ratio,0.016832665,25
tfi_60s,0.016805794,21
ft_tfi,0.016712053,38
vsur_30s,0.016710665,17
ft_basis_ma6,0.016652955,35
vsur_10s,0.016608888,32
vsur_60s,0.016578576,25
kl_ret_48,0.016562067,31
tfi_30s,0.016332531,23
kl_tfi,0.016323695,17
kl_vol_ratio_24,0.016304102,16
kl_upper_shadow,0.01624158,36
hour_cos,0.015999088,11
ntrades_ratio_60s,0.015881076,26
fr_abs,0.01565226,22
dow_sin,0.015377858,8
ntrades_ratio_10s,0.0152298985,30
hour_sin,0.015194485,5
funding_rate,0.015154696,7
fr_sign,0.014511605,1
