feature,xgb_importance,lgb_importance
price_pos_12,0.06386948,81
ret_6,0.053679846,159
ret_12,0.049157318,155
price_pos_48,0.044196863,105
dow_sin,0.030512292,76
ret_2,0.028649759,147
body_ratio,0.027612055,136
ret_3,0.027548237,148
lower_shadow,0.027270783,171
upper_shadow,0.026580805,143
tfi_6,0.02657022,147
ret_24,0.026482224,149
dow_cos,0.026231192,30
vol_48,0.025922596,127
tfi_1,0.025656795,150
ntrades_ratio_6,0.025102008,98
vol_ratio_24,0.024702039,123
tfi_3,0.024484338,123
ret_1,0.02435533,120
ret_96,0.024308799,163
vol_ratio_12,0.023861028,88
vol_ratio_48,0.023820402,106
hour_sin,0.02368346,54
hl_ratio,0.023568766,160
tfi_24,0.023556685,162
vol_6,0.023165792,90
vol_24,0.023144795,119
hour_cos,0.022977013,68
vol_chg_3,0.022939805,107
vol_12,0.02267978,81
vol_chg_6,0.022567416,99
ret_48,0.022420354,119
vol_ratio_6,0.022414178,89
tfi_12,0.022182986,104
vol_chg_1,0.022085404,163
ntrades_ratio_12,0.02203918,103
